record_id,source_file,row_idx,defect_id,title,detect_phase,detect_phase_label,detect_phase_ordinal,injection_phase,injection_phase_label,injection_phase_ordinal,severity,severity_label,severity_ordinal,defect_type,defect_type_label,defect_type_ordinal,cause,escape_cause,countermeasure,assignee,assignee_label,assignee_ordinal,detect_date,status,status_label,status_ordinal
DEF-0036,golden_defects.csv,37,DEF-0036,マイナスの在庫数量が登録可能になっており在庫不整合が発生,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_高,高,,val_境界値,境界値,,在庫更新APIで負数チェックのバリデーションが抜けていた。,単体試験での負数入力テスト不足。,バリデーションに最小値0の制約を追加。,val_斉藤,斉藤,,2025-04-15,val_完了,完了,
DEF-0037,golden_defects.csv,38,DEF-0037,外部決済APIの障害時にタイムアウトまで60秒画面が固まる,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_機能不全,機能不全,,HTTPクライアントのConnectTimeoutとReadTimeoutがデフォルト(無制限)になっていた。,結合試験での外部モック障害シミュレーション不足。,"ConnectTimeout=3s, ReadTimeout=5sを設定しフォールバック画面を表示するよう修正。",坂本,坂本,,2025-04-18,val_完了,完了,
DEF-0038,golden_defects.csv,39,DEF-0038,日付ピッカーでうるう年2月29日を選択するとエラーになる,phase_unit_test,単体試験,40,phase_detail_design,詳細設計,30,val_中,中,,val_境界値,境界値,,閏年判定テーブルの西暦判定で400で割り切れる年のロジックが誤っていた。,単体試験での閏年特定日テスト不足。,標準日付パーサーを用いてバリデーションを行うよう改修。,val_遠藤,遠藤,,2025-04-20,val_完了,完了,
DEF-0039,golden_defects.csv,40,DEF-0039,大量プッシュ通知送信時にスレッドプール枯渇により通常リクエストが遅延する,phase_system,システム試験,60,phase_basic_design,基本設計,20,val_高,高,,val_タイミング/排他,タイミング/排他,,通知配信用とHTTPリクエスト処理用で同一のスレッドプールを共有していた。,結合試験での通知大量送信負荷試験不足。,通知配信用に独立した非同期スレッドプールとキューを分離新設。,val_青木,青木,,2025-04-23,val_完了,完了,
DEF-0040,golden_defects.csv,41,DEF-0040,権限のない一般ユーザーがURL直接入力で管理画面を開ける,phase_integration,結合試験,50,phase_basic_design,基本設計,20,val_高,高,,val_機能不全,機能不全,,SPAルーター側でクライアント側ロールガードが定義されていなかった。,結合試験での不正URL直接アクセステストの漏れ。,フロントエンドルーターおよびバックエンドAPIの二重認可ガードを実装。,val_藤井,藤井,,2025-04-25,val_完了,完了,
DEF-0041,golden_defects.csv,42,DEF-0041,タイマー制御の画面自動更新が非アクティブタブでも継続し通信量を消費する,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_機能不全,機能不全,,Page Visibility APIとタイマーの連動が行われていなかった。,単体試験でのバックグラウンドタスク動作検証不足。,document.hidden属性を監視しタブ非アクティブ時はタイマーを一時停止するよう制御を追加。,val_西村,西村,,2025-04-28,val_完了,完了,
DEF-0042,golden_defects.csv,43,DEF-0042,特定の漢字を含むユーザー名で文字化けが発生する,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_機能不全,機能不全,,DB接続URLの文字エンコーディング指定がSJISになっておりサロゲートペア等で化けた。,単体試験での環境依存文字テスト不足。,接続文字列およびテーブル照合順序をUTF-8(utf8mb4)に統一。,val_福田,福田,,2025-05-01,val_完了,完了,
DEF-0043,golden_defects.csv,44,DEF-0043,会員退会処理後に論理削除フラグが立たず再ログインできてしまう,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_高,高,,val_機能不全,機能不全,,退会トランザクション内でフラグ更新クエリのコミットが漏れていた。,結合試験での退会後アクション検証不足。,トランザクションスコープを適切に設定し確実にフラグ更新とセッション破棄を行うよう改修。,val_太田,太田,,2025-05-03,val_完了,完了,
DEF-0044,golden_defects.csv,45,DEF-0044,タイマーコールバック内の未捕捉例外により以降の定期バッチが全停止する,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,ScheduledExecutorServiceにおいてタスク内で例外が発生するとスケジュールが停止する仕様への考慮漏れ。,単体試験でのタスク内例外発生時の継続性テスト不足。,タスクの最上位ブロックをtry-catch(Throwable)で囲み例外ログ出力後も次回実行を継続するよう保護。,val_三浦,三浦,,2025-05-06,val_完了,完了,
DEF-0045,golden_defects.csv,46,DEF-0045,クレジットカード番号の入力欄でコピペ時にスペースが含まれるとバリデーションエラーになる,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_ui不備,UI不備,,入力文字列の事前トリムおよび空白除去処理が行われていなかった。,単体試験でのコピペ入力操作確認不足。,入力値から空白文字およびハイフンを自動除去するサニタイズ処理を追加。,val_岡本,岡本,,2025-05-08,val_完了,完了,
DEF-0046,golden_defects.csv,47,DEF-0046,セッションクラスタリング環境で別ノードへフェイルオーバーした際にカートの中身が消える,phase_system,システム試験,60,phase_basic_design,基本設計,20,val_高,高,,val_機能不全,機能不全,,カートオブジェクトがSerializableインターフェースを実装しておらずセッションレプリケーションに失敗した。,結合試験でのノード停止フェイルオーバー試験の不足。,カートデータ構造を直列化可能にしRedisセッションストアへの保存形式を見直し。,val_松田,松田,,2025-05-11,val_完了,完了,
DEF-0047,golden_defects.csv,48,DEF-0047,REST APIのクエリストリングで特殊記号(&や%)が含まれると400 Bad Requestになる,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_機能不全,機能不全,,フロントエンド側でencodeURIComponentによるURLエンコードが漏れていた。,単体試験でのURLエンコード網羅テスト不足。,クエリパラメータ構築関数にURLエンコードを適用。,val_中川,中川,,2025-05-13,val_完了,完了,
DEF-0048,golden_defects.csv,49,DEF-0048,タイマー満了時のデータ書き込みとユーザー手動保存の競合でデータが先祖返りする,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,楽観的ロックのバージョン番号チェックを行わず無条件に上書き保存していた。,結合試験での同時保存競合シナリオ不足。,エンティティにversionカラムを導入し楽観的排他制御により競合検知時は再読み込みを促すよう修正。,val_原田,原田,,2025-05-16,val_完了,完了,
DEF-0049,golden_defects.csv,50,DEF-0049,検索インデックスの更新遅延により新規登録商品が10分間検索にヒットしない,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_中,中,,val_機能不全,機能不全,,インデックス更新を同期ではなくバッチポーリング方式にしていたため反映ラグが生じた。,結合試験での検索即時反映テストの不足。,商品登録・更新イベント時にメッセージキューを介して即時増分インデックス更新を行うようアーキテクチャ変更。,val_中野,中野,,2025-05-19,val_完了,完了,
DEF-0050,golden_defects.csv,51,DEF-0050,CSVインポートで1行でもエラーがあると全件ロールバックされ何行目がエラーかわからない,phase_unit_test,単体試験,40,phase_detail_design,詳細設計,30,val_中,中,,val_機能不全,機能不全,,バッチコミット単位の粒度が全体一括になっておりエラー行の集計機構がなかった。,単体試験での行単位エラーハンドリング検証不足。,行単位でのエラーハンドリングと詳細エラーレポートCSVの返却機能を実装。,val_竹内,竹内,,2025-05-22,val_完了,完了,
